# Integrated IC catalog generated from github.com/flashrom/flashrom & github.com/Raoufbaa/EEflasher-Release
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
ACE25C512	ACE	A13110	65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN256	ADESTO	1F4000	32768	256	3.3	SPI	25xx	SPI_NOR	true
A25L005	AMIC	373010	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L010	AMIC	373011	131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L016	AMIC	373015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L020	AMIC	373012	262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L032	AMIC	373016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
A25L040	AMIC	373013	524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L05PT	AMIC	372020	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L05PU	AMIC	372010	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L064	AMIC	373017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
A25L080	AMIC	373014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25L10PT	AMIC	372021	131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L10PU	AMIC	372011	131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L128	AMIC	373018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
A25L16PT	AMIC	372025	2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L16PU	AMIC	372015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L20PT	AMIC	372022	262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L20PU	AMIC	372012	262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L40PT	AMIC	372023	524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L40PU	AMIC	372013	524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L512	AMIC	373010	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L80PT	AMIC	372024	1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25L80PU	AMIC	372014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ032	AMIC	374016	4194304	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ064	AMIC	374017	8388608	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ128	AMIC	374018	16777216	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ16	AMIC	374015	2097152	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ32A	AMIC	374016	4194304	256	1.8	SPI	25xx	SPI_NOR	true
AF25BC08	APLUS	000000	1024	32	3.3	Catalog	SPI95	SPI (CATALOG_ONLY)	false
AF25BC128	APLUS	000000	16384	64	3.3	Catalog	SPI95	SPI (CATALOG_ONLY)	false
AF25BC16	APLUS	000000	2048	32	3.3	Catalog	SPI95	SPI (CATALOG_ONLY)	false
AF25BC256	APLUS	000000	32768	64	3.3	Catalog	SPI95	SPI (CATALOG_ONLY)	false
AF25BC32	APLUS	000000	4096	32	3.3	Catalog	SPI95	SPI (CATALOG_ONLY)	false
AF25BC64	APLUS	000000	8192	32	3.3	Catalog	SPI95	SPI (CATALOG_ONLY)	false
ATO25Q32	ATO	9B3216	4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT24C01	Atmel	A0	128	8	3.3	I2C	24xx	I2C_EEPROM	true
AT24C02	Atmel	A0	256	8	3.3	I2C	24xx	I2C_EEPROM	true
AT24C04	Atmel	A0	512	16	3.3	I2C	24xx	I2C_EEPROM	true
AT24C08	Atmel	A0	1024	16	3.3	I2C	24xx	I2C_EEPROM	true
AT24C128	Atmel	A0	16384	64	3.3	I2C	24xx	I2C_EEPROM	true
AT24C16	Atmel	A0	2048	16	3.3	I2C	24xx	I2C_EEPROM	true
AT24C256	Atmel	A0	32768	64	3.3	I2C	24xx	I2C_EEPROM	true
AT24C32	Atmel	A0	4096	32	3.3	I2C	24xx	I2C_EEPROM	true
AT24C512	Atmel	A0	65536	128	3.3	I2C	24xx	I2C_EEPROM	true
AT24C64	Atmel	A0	8192	32	3.3	I2C	24xx	I2C_EEPROM	true
AT25010A	Atmel	000000	128	8	3.3	SPI	25xx	SPI_NOR	true
AT25020A	Atmel	000000	256	8	3.3	SPI	25xx	SPI_NOR	true
AT25040A	Atmel	000000	512	8	3.3	SPI	25xx	SPI_NOR	true
AT25080A	Atmel	000000	1024	16	3.3	SPI	25xx	SPI_NOR	true
AT25160A	Atmel	000000	2048	16	3.3	SPI	25xx	SPI_NOR	true
AT25256A	Atmel	000000	32768	64	3.3	SPI	25xx	SPI_NOR	true
AT25320A	Atmel	000000	4096	16	3.3	SPI	25xx	SPI_NOR	true
AT25512	Atmel	000000	65536	128	3.3	SPI	25xx	SPI_NOR	true
AT25640A	Atmel	000000	8192	16	3.3	SPI	25xx	SPI_NOR	true
AT25F512	Atmel	1F65	65536	256	3.3	SPI	25xx	SPI_NOR	true
AT45DB011D	Atmel	1F2200	131072	256	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT45DB021D	Atmel	1F2300	262144	256	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT45DB041D	Atmel	1F2400	524288	256	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT45DB081D	Atmel	1F2500	1048576	256	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT45DB161D	Atmel	1F2600	2097152	512	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT45DB321D	Atmel	1F2700	4194304	512	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT45DB642D	Atmel	1F2800	8388608	1024	3.3	Catalog	SPI45	SPI_DATA_45 (CATALOG_ONLY)	false
AT90USB1286	Atmel	1E9782	131072	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
AT90USB1287	Atmel	1E9782	131072	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
AT90USB162	Atmel	1E9482	16384	64	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
AT90USB646	Atmel	1E9682	65536	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
AT90USB647	Atmel	1E9682	65536	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
AT90USB82	Atmel	1E9382	8192	32	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
AT93C46	Atmel	000000	128	8	5.0	Microwire	93xx	MICROWIRE (CATALOG_ONLY)	false
AT93C56	Atmel	000000	256	8	5.0	Microwire	93xx	MICROWIRE (CATALOG_ONLY)	false
AT93C66	Atmel	000000	512	8	5.0	Microwire	93xx	MICROWIRE (CATALOG_ONLY)	false
AT93C86	Atmel	000000	2048	8	5.0	Microwire	93xx	MICROWIRE (CATALOG_ONLY)	false
ATmega128	Atmel	1E9702	131072	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega1280	Atmel	1E9703	131072	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega1284	Atmel	1E9706	131072	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega1284P	Atmel	1E9705	131072	128	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega16	Atmel	1E9403	16384	64	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega162	Atmel	1E9404	16384	64	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega164A	Atmel	1E940F	16384	64	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega164PA	Atmel	1E940A	16384	64	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
ATmega168	Atmel	1E9406	16384	64	5.0	Catalog	SPI25	AVR (CATALOG_ONLY)	false
