# T48 IC catalog generated from XGecu T48 SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
S-25A010A	ABLIC		131072	256	3.3	SPI	25xx	SPI_NOR	true
S-25A020A	ABLIC		262144	256	3.3	SPI	25xx	SPI_NOR	true
S-25A040A	ABLIC		524288	256	3.3	SPI	25xx	SPI_NOR	true
S-25A080A	ABLIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
S-25A080B	ABLIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
S-25A160A	ABLIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
S-25A160B	ABLIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
S-25A320A	ABLIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
S-25A320B	ABLIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
S-25C010A	ABLIC		131072	256	3.3	SPI	25xx	SPI_NOR	true
S-25C020A	ABLIC		262144	256	3.3	SPI	25xx	SPI_NOR	true
S-25C040A	ABLIC		524288	256	3.3	SPI	25xx	SPI_NOR	true
S-25C080A	ABLIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
S-25C160A	ABLIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
S-25C320A	ABLIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
S-25C640A	ABLIC		8388608	256	3.3	SPI	25xx	SPI_NOR	true
S-25C128A	ABLIC		16777216	256	3.3	SPI	25xx	SPI_NOR	true
S-25C256A	ABLIC		33554432	256	3.3	SPI	25xx	SPI_NOR	true
ACE25AC100G	ACE		131072	256	3.3	SPI	25xx	SPI_NOR	true
ACE25AC200G	ACE		262144	256	3.3	SPI	25xx	SPI_NOR	true
ACE25AC400G	ACE		524288	256	3.3	SPI	25xx	SPI_NOR	true
ACE25C100C	ACE		131072	256	3.3	SPI	25xx	SPI_NOR	true
ACE25C200C	ACE		262144	256	3.3	SPI	25xx	SPI_NOR	true
ACE25C400C	ACE		524288	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QA100G	ACE		131072	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QA200G	ACE		262144	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QA400G	ACE		524288	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QA800G	ACE		1048576	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QA160G	ACE		2097152	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QC160G	ACE		2097152	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QC320G	ACE		4194304	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QC640G	ACE		8388608	256	3.3	SPI	25xx	SPI_NOR	true
Q25Q64A	ACE		8388608	256	3.3	SPI	25xx	SPI_NOR	true
ACE25QC128G	ACE		16777216	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF161	ADESTO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF321	ADESTO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF641	ADESTO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25SL321	ADESTO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25SL641	ADESTO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25SL128A	ADESTO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ32	AMIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ64	AMIC		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25010	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25010-1.8	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25020	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25020-1.8	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25040	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25040-1.8	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25080	ATMEL		1048576	256	3.3	SPI	25xx	SPI_NOR	true
AT25080-1.8	ATMEL		1048576	256	3.3	SPI	25xx	SPI_NOR	true
AT25080B	ATMEL		1048576	256	3.3	SPI	25xx	SPI_NOR	true
AT25160	ATMEL		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25160-1.8	ATMEL		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25160B	ATMEL		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25320	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25320-1.8	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25320B	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25640	ATMEL		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25640-1.8	ATMEL		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25640B	ATMEL		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25128	ATMEL		16777216	256	3.3	SPI	25xx	SPI_NOR	true
AT25128-1.8	ATMEL		16777216	256	3.3	SPI	25xx	SPI_NOR	true
AT25128A	ATMEL		16777216	256	3.3	SPI	25xx	SPI_NOR	true
AT25128B	ATMEL		16777216	256	3.3	SPI	25xx	SPI_NOR	true
AT25256	ATMEL		33554432	256	3.3	SPI	25xx	SPI_NOR	true
AT25256-1.8	ATMEL		33554432	256	3.3	SPI	25xx	SPI_NOR	true
AT25256B	ATMEL		33554432	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF161	ATMEL		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF321	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF321A	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF641	ATMEL		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25F1024	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25F1024A	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25F2048	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25F2048A	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25F4096	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25F4096A	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25HP256	ATMEL		33554432	256	3.3	SPI	25xx	SPI_NOR	true
AT25HP256-1.8	ATMEL		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q10A	BERGMICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q20A	BERGMICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q80A	BERGMICRO		1048576	256	3.3	SPI	25xx	SPI_NOR	true
BW25Q32A	BIWIN		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BW25Q64A	BIWIN		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BW25Q128A	BIWIN		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64EST	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESS	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESH	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESQ	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESW	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128EST	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESS	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESQ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESW	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESF	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05AST	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05ASS	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05EST	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05ESS	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVT	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVS	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVO	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVU	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVM	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10AST	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10ASS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVT	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVO	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVU	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVM	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AST	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
